Geographic name,Province,2006 Population,2006 Land area km2,2006 Population density,Latitude,Longitude
Yorkton,SK,17438,842.1718,20.7,51.2101634798,102.4730873107
Yellowknife,NT,18700,105.2205,177.7,62.4551371468,114.368276596
Woodstock,ON,35480,43.7888,810.3,43.1329057971,80.7479927125
Wood Buffalo,AB,52643,63781.1774,0.8,56.725938,111.37948
Winnipeg,MB,694668,5302.9765,131,49.8952978918,97.1388816833
Windsor,ON,323342,1022.8385,316.1,42.291192,82.997466
Williams Lake,BC,18760,2655.9989,7.1,52.162772,122.197824
Whitehorse,YT,22898,8488.4542,2.7,60.7193463545,135.052614212
Wetaskiwin,AB,11673,16.7361,697.5,52.9692158071,113.367319107
Victoriaville,QC,48893,378.6746,129.1,46.0552767191,71.9591430173
Victoria,BC,330088,695.3462,474.7,48.4268084932,123.3622169494
Vernon,BC,55418,1041.9663,53.2,50.2679096518,119.2721853759
Vancouver,BC,2116581,2877.3612,735.6,49.416218,123.320005
Val-d'Or,QC,32288,3548.4907,9.1,48.1002167779,77.7899910623
Truro,NS,45077,2732.4392,16.5,45.364750158,63.2792758941
Trois-Rivieres,QC,141529,880.3551,160.8,46.3508378432,72.5454711914
Toronto,ON,5113149,5903.6343,866.1,43.6709058154,79.3933311876
Timmins,ON,42997,2961.5782,14.5,48.4759939689,81.3345336914
Tillsonburg,ON,14822,22.3352,663.6,42.8594194044,80.7254791259
Thunder Bay,ON,122907,2550.4013,48.2,48.4158518896,89.2605278563
Thompson,MB,13593,3481.2414,3.9,55.7453278546,97.8513622283
Thetford Mines,QC,26107,280.1115,93.2,46.0945432766,71.3021278381
Terrace,BC,18581,9748.9526,1.9,54.5162490167,128.5857009887
Temiskaming Shores,ON,12904,406.8817,31.7,46.7149148164,79.1003608703
Swift Current,SK,16533,1131.7409,14.6,50.2874210316,107.7972146879
Summerside,PE,16153,91.8516,175.9,46.3926479843,63.7915992736
Stratford,ON,30461,25.2762,1205.1,43.3710532764,80.9831428527
St. John's,NL,181113,804.6403,225.1,47.5645965841,52.7090549468
St. Catharines - Niagara,ON,390317,1397.4999,279.3,43.1581106222,79.2456722259
Squamish,BC,15256,106.8454,142.8,49.749674038,123.13597461
Sorel-Tracy,QC,48295,293.1685,164.7,46.0419015704,73.1132411956
Sherbrooke,QC,186952,1231.8561,151.8,45.4000846383,71.9078406633
Shawinigan,QC,56434,962.6947,58.6,46.5634044954,72.7403926849
Sept-Iles,QC,27827,1770.5172,15.7,50.215140283,66.3783645629
Sault Ste. Marie,ON,80098,748.1452,107.1,46.513337,84.335599
Saskatoon,SK,233923,5206.6996,44.9,52.1308237838,106.6532757198
Sarnia,ON,88793,799.7669,111,42.978467361,82.403383255
Salmon Arm,BC,16205,165.5917,97.9,50.6999913967,119.2856884002
Salaberry-de-Valleyfield,QC,39672,107.0981,370.4,45.2503589065,74.1323089599
Saint-Jean-sur-Richelieu,QC,87492,225.7758,387.5,45.3059836991,73.2643032073
Saint-Hyacinthe,QC,55823,409.5618,136.3,45.6266438817,72.9427814483
